date,prcp,tmean,tmin,tmax,airp,relh,srad,wspd
2019-01-01,0.0,-10.1503,-12.1679,-6.0444,97.58324,74.63,42.66,3.46
2019-01-02,0.0,-5.4802,-9.482,2.4182,97.24513,63.25,118.95,3.16
2019-01-03,0.0,0.5755,-5.3251,9.0519,96.70277,55.24,117.79,2.27
2019-01-04,0.0,3.5899,-3.8342,11.9848,96.20039,57.0,118.12,2.3
2019-01-05,0.0,7.1416,-0.0214,16.8382,96.44219,62.09,119.35,2.05
2019-01-06,0.0,10.0741,4.3096,15.866,96.08808,57.22,58.13,5.13
2019-01-07,0.0,11.8356,6.0743,14.7189,95.53925,62.58,95.93,5.79
2019-01-08,0.0,6.6843,2.0267,10.1662,97.0275,50.45,125.88,3.99
2019-01-09,0.0,0.8372,-4.3812,6.041,98.16922,48.31,119.53,1.84
2019-01-10,0.0,0.3483,-4.375,7.983,97.50707,51.23,115.43,3.38
2019-01-11,6.34,2.4562,0.0427,4.4368,96.77521,75.04,15.17,3.76
2019-01-12,9.01,-0.8659,-1.5808,0.0558,96.71808,67.0629083094556,46.55,4.32
2019-01-13,0.27,-2.1471,-2.9511,-1.298,97.74294,92.27,40.98,3.15
2019-01-14,0.0,-2.5399,-4.4353,-0.4831,97.76754,97.06,42.11,3.06
2019-01-15,0.0,-0.9316,-2.5378,0.2044,97.19419,67.0629083094556,58.74,3.49
2019-01-16,0.0,-1.3739,-2.5614,-0.7676,96.99402,67.0629083094556,22.74,3.2567182662538703
2019-01-17,0.07,-1.1366,-2.3014,-0.3366,96.84829,67.0629083094556,34.67,3.2567182662538703
2019-01-18,7.05,0.1325,-1.158,1.8648,96.30491,67.0629083094556,11.93,3.2567182662538703
2019-01-19,2.89,-8.2923,-11.472,-0.2304,96.97303,85.15,122.56,3.2567182662538703
2019-01-20,0.0,-9.0286,-13.2905,-3.2196,97.35305,69.2,119.99,2.59
2019-01-21,0.01,-5.4885,-9.0327,1.3122,96.60321,80.81,64.27,4.69
2019-01-22,2.89,0.0075,-5.5817,3.1047,95.78337,85.2,11.79,3.2567182662538703
2019-01-23,3.12,-7.0235,-10.4708,-2.0587,96.60432,83.91,154.19,3.2567182662538703
2019-01-24,0.0,-3.9231,-9.0353,-1.6299,96.88397,73.85,125.93,3.2567182662538703
2019-01-25,0.0,-6.57,-13.6265,3.5262,97.28669,65.28,118.39,4.3
2019-01-26,0.0,0.3544,-5.0754,5.6695,96.80235,72.33,125.42,2.42
2019-01-27,0.0,1.9135,-3.7015,8.7971,96.55462,78.71,103.34,3.05
2019-01-28,1.01,2.2702,-4.0018,10.0423,96.104,61.69,103.29,6.03
2019-01-29,0.0,-5.9385,-8.8828,-1.1232,97.1723,67.27,110.55,2.47
2019-01-30,0.0,-14.702,-19.1478,-8.8159,97.50645,54.57,107.15,2.57
2019-01-31,0.0,-9.4502,-15.3198,3.2345,96.92374,62.92,135.64,2.79
2019-02-01,2.4585307346326837,2.6445,-2.4563,12.4453,96.8371,61.71,135.66,2.04
2019-02-02,2.4585307346326837,8.763,3.468,15.721,96.49046,89.34,74.41,5.28
2019-02-03,2.4585307346326837,14.1487,11.0592,20.6362,95.52386,80.3,112.66,7.43
2019-02-04,2.4585307346326837,2.7648,-7.0431,16.8051,95.77756,79.97,136.88,5.05
2019-02-05,0.0,-8.0387,-9.6035,-4.2796,96.53681,81.34,34.83,3.57
2019-02-06,0.0,-7.7819,-8.5334,-6.9567,96.33466,91.14,20.83,3.02
2019-02-07,2.45,-10.9258,-14.3533,-7.1318,96.77267,75.54,162.37,5.04
2019-02-08,0.0,-11.7051,-16.2319,-4.7132,98.38605,54.36,176.65,2.07
2019-02-09,0.21,-6.8234,-11.3635,2.1995,98.36059,69.4,121.91,3.47
2019-02-10,0.79,0.0118,-2.3461,3.9021,97.04927,84.44,34.92,3.89
2019-02-11,1.22,0.2201,-0.531,2.3705,96.25276,67.0629083094556,17.2,2.69
2019-02-12,1.06,-1.6743,-4.7706,3.1818,96.54687,79.74,176.8,3.6
2019-02-13,0.0,3.4861,-1.5574,10.2568,96.49351,58.88,122.38,3.42
2019-02-14,0.0,5.3751,-2.0092,10.5333,95.21439,62.35,166.94,4.51
2019-02-15,4.89,-9.0009,-11.767,-2.0115,96.62181,73.06,40.53,4.45
2019-02-16,0.22,-9.8155,-12.247,-5.148,96.48857,79.66,94.37,2.9
2019-02-17,1.34,-6.6436,-9.3006,-4.4657,96.03376,84.7,153.95,3.04
2019-02-18,0.0,-9.385,-14.5359,-4.9904,97.65813,77.49,148.25,2.44
2019-02-19,0.0,-7.1314,-10.1569,-2.4578,97.74808,82.92,65.88,3.17
2019-02-20,4.88,-2.4835,-4.433,1.6526,95.9957,83.29,179.25,3.68
2019-02-21,0.0,-1.2319,-6.2963,4.7086,96.68298,72.98,134.14,2.45
2019-02-22,0.0,-0.4888,-4.8302,4.1804,96.93837,77.88,121.52,2.65
2019-02-23,17.71,0.5423,-2.0929,1.5404,95.73629,67.0629083094556,20.21,3.26
2019-02-24,0.33,-4.0614,-5.8282,-2.0707,97.00417,69.71,199.26,4.31
2019-02-25,0.0,-6.79,-11.1777,2.8004,97.56877,74.4,203.15,3.5
2019-02-26,0.0,-9.8077,-11.9436,-6.3464,97.34111,78.98,68.96,4.07
2019-02-27,0.0,-9.6281,-11.9283,-7.6397,97.42737,85.83,119.83,3.6
2019-02-28,0.0,-10.0861,-12.6996,-3.0019,97.25891,65.57,142.02,2.55
2019-03-01,0.0,-4.6625,-9.4147,2.8276,96.84342,67.36,154.9,2.09
2019-03-02,0.0,-4.4022,-7.3393,1.2155,97.42728,71.26,185.6,4.15
2019-03-03,5.96,-12.2444,-16.371,-6.2427,97.83523,70.36,228.31,5.54
2019-03-04,0.0,-15.588,-19.8389,-9.5677,97.97222,56.72,240.23,2.65
2019-03-05,0.0,-11.0034,-15.203,-5.6115,97.78049,58.98,237.04,3.4
2019-03-06,0.0,-5.7197,-11.5405,2.0371,97.68707,59.79,154.29,2.98
2019-03-07,0.0,0.5772,-3.0637,6.8648,96.7243,64.05,176.73,2.97
2019-03-08,0.0,0.8772,-1.1208,3.5604,96.39825,87.59,61.26,2.43
2019-03-09,5.26,5.269,2.7115,10.2647,95.00741,91.66,41.48,4.75
2019-03-10,0.16,0.9718,-2.3515,5.8713,96.9079,61.37,205.08,3.28
2019-03-11,0.0,2.4362,-3.2103,11.1666,97.57196,62.99,232.63,2.09
2019-03-12,7.92,8.3321,5.7748,12.3672,96.84737,80.29,61.58,4.96
2019-03-13,11.87,13.1618,10.5387,17.5306,94.72715,85.92,146.86,8.46
2019-03-14,0.0,5.0308,1.0567,15.0877,94.51506,79.21,37.98,7.97
2019-03-15,0.58,2.7376,-1.556,8.5598,97.34019,60.47,248.39,4.14
2019-03-16,0.0,6.4161,-0.4267,15.006,97.70918,42.07,247.91,3.17
2019-03-17,0.13,5.6608,-1.3342,12.903,97.64505,54.74,248.89,1.86
2019-03-18,0.0,5.856,1.1778,12.0547,97.75288,52.75,220.82,2.14
2019-03-19,4.85,7.1865,3.8224,13.5001,97.24449,59.99,68.04,2.66
2019-03-20,0.15,7.2015,3.8054,15.198,97.05191,76.91,240.32,3.33
2019-03-21,0.0,7.7058,-0.2017,14.9369,97.15667,62.38,261.68,2.07
2019-03-22,0.0,11.6802,3.428,18.5769,97.09942,38.9,225.68,1.44
2019-03-23,0.0,12.1482,8.7662,17.4705,96.64355,55.14,143.76,3.21
2019-03-24,0.34,10.1781,6.9178,13.128,96.39216,84.4,89.16,4.86
2019-03-25,0.0,9.3013,6.9657,13.8539,97.26447,79.25,151.49,3.08
2019-03-26,0.0,10.4218,4.695,18.7074,97.5947,67.4,208.2,2.58
2019-03-27,0.03,14.6092,9.7552,22.2127,96.83399,56.93,174.7,8.0
2019-03-28,4.24,13.775,7.5085,20.6221,96.45118,75.03,21.04,4.9
2019-03-29,5.99,6.2691,4.2553,7.7695,96.50236,96.11,15.81,5.29
2019-03-30,10.49,2.4768,0.1744,5.532,96.87517,82.11,198.36,5.22
2019-03-31,0.0,1.6439,-3.517,8.6653,97.85619,54.19,283.6,1.74
2019-04-01,0.0,6.19,0.461,13.9109,97.21066,48.29,257.54,4.44
2019-04-02,0.0,7.5438,2.5064,13.4101,96.75561,58.17,171.53,3.49
2019-04-03,0.0,11.7427,7.9026,19.8071,96.75578,53.14,146.53,3.96
2019-04-04,0.0,14.02,10.7565,17.8172,96.54759,67.6,158.53,2.79
2019-04-05,0.0,14.0815,8.6079,23.0533,96.61023,75.86,256.52,4.02
2019-04-06,5.82,16.9303,12.2941,24.7561,96.20677,69.61,202.24,5.99
2019-04-07,1.87,15.945,12.0629,23.4814,96.07151,80.61,259.48,3.32
2019-04-08,0.0,18.6797,9.7756,27.8933,96.44277,47.3,287.12,2.57
2019-04-09,0.0,19.5414,12.1693,26.3365,96.20617,44.97,226.75,2.96
2019-04-10,0.0,21.1433,15.1845,30.4263,94.88018,50.82,194.2,4.85
2019-04-11,0.0,10.0926,2.4333,27.82,94.37343,63.78,111.59,6.97
2019-04-12,0.0,3.1968,-1.7529,11.517,95.92022,48.98,298.9,6.08
2019-04-13,0.0,6.6556,0.0129,12.6902,96.79927,44.72,223.38,2.89
2019-04-14,0.23,7.5153,1.1607,15.0264,96.26034,49.45,301.79,3.31
2019-04-15,0.03,15.5912,9.2305,25.4061,95.84739,44.89,285.18,5.57
2019-04-16,0.0,20.3537,14.2621,27.622,95.72113,52.29,285.48,4.86
2019-04-17,0.0,20.5231,17.7499,25.5264,95.55596,66.23,143.07,4.95
2019-04-18,0.0,12.908,7.6436,22.1731,96.0281,59.43,255.1,4.68
2019-04-19,0.0,10.807,4.2115,17.8264,96.65544,56.16,306.51,3.37
2019-04-20,0.0,16.8488,8.132,27.5278,96.31608,32.25,311.66,3.94
2019-04-21,0.01,21.5897,16.0797,29.3058,95.67967,45.87,272.99,8.55
2019-04-22,3.87,18.4497,14.3708,26.9757,96.20825,64.2,187.73,4.56
2019-04-23,0.0,11.1885,8.9822,17.1819,96.85059,80.52,53.13,2.7
2019-04-24,0.0,12.7611,9.1292,21.8183,96.35887,78.52,249.09,1.07
2019-04-25,0.0,15.2857,10.0056,21.033,96.06872,72.42,191.66,3.83
2019-04-26,0.0,15.6993,8.4834,23.2919,96.82738,39.86,296.69,2.31
2019-04-27,0.0,16.3778,10.4148,21.7118,95.7884,49.23,311.25,6.99
2019-04-28,0.14,8.092,4.0677,14.8098,96.48004,66.27,249.63,3.98
2019-04-29,15.89,12.460202517482514,7.847813146853157,18.531683356643363,96.22847,67.0629083094556,178.15412095639945,4.07
2019-04-30,31.68,9.6917,7.001,14.5482,96.50157,83.91,21.41,3.79
2019-05-01,1.11,10.7613,9.1413,13.6581,96.33374,67.0629083094556,86.45,1.91
2019-05-02,3.43,10.6607,6.7509,16.6115,96.92242,79.82,242.36,3.51
2019-05-03,0.51,12.4935,9.6956,15.9234,96.76225,80.2,129.93,1.8
2019-05-04,0.0,13.262,6.8429,20.5243,96.59715,82.3,247.12,1.55
2019-05-05,0.0,17.793,13.1016,24.7082,96.16382,67.83,298.1,4.28
2019-05-06,29.82,16.8308,11.6584,23.3796,96.26974,80.73,249.23,3.27
2019-05-07,26.0,14.4282,12.6859,15.6374,96.66971,95.98,45.38,3.29
2019-05-08,55.64,15.8459,13.0137,21.5523,95.74017,89.34,178.96,3.64
2019-05-09,10.11,7.9965,4.7515,14.4792,96.35961,76.81,86.81,4.06
2019-05-10,0.0,10.4161,6.0627,15.1205,97.10182,66.51,213.3,1.42
2019-05-11,0.0,11.9344,9.6584,15.5868,96.66762,69.01,176.82,1.53
2019-05-12,11.21,12.2583,8.241,17.5646,96.11383,77.92,232.11,2.87
2019-05-13,0.0,15.1963,7.61,22.5988,96.39013,62.54,343.88,1.98
2019-05-14,0.0,20.0554,12.9409,28.4162,96.27688,59.14,329.52,3.47
2019-05-15,0.0,23.1676,15.8203,28.9582,96.32259,67.11,212.55,2.09
2019-05-16,0.0,25.2557,19.5196,31.023,96.0136,59.64,331.05,5.89
2019-05-17,0.0,24.5787,20.0667,29.1288,95.63333,62.24,285.86,7.42
2019-05-18,21.12,19.349,14.7796,26.994,95.41319,82.29,70.82,4.35
2019-05-19,20.85,14.3913,11.8797,17.6076,95.84879,76.26,308.81,3.93
2019-05-20,25.72,10.3132,7.3978,16.8552,96.71883,76.61,50.08,3.98
2019-05-21,16.51,10.7161,7.4101,20.5749,95.37279,92.98,97.12,5.1
2019-05-22,1.58,13.7692,7.3937,21.0484,95.28607,66.37,334.64,4.71
2019-05-23,0.0,17.2299,11.0256,21.7004,96.64995,64.77,208.7,2.12
2019-05-24,6.01,21.3337,18.2725,24.6251,96.31217,83.72,161.88,4.36
2019-05-25,11.77,20.488,17.5287,24.3032,96.37435,86.02,143.26,4.04
2019-05-26,46.89,20.2713,15.901,24.9524,96.67806,82.67,272.75,2.76
2019-05-27,10.66,21.8417,15.9779,28.2911,96.01801,81.16,225.63,4.49
2019-05-28,11.2,22.477,16.5213,27.3794,95.39546,85.13,102.54,4.56
2019-05-29,1.11,17.8967,14.399,25.7203,95.73587,79.18,234.07,3.32
2019-05-30,0.0,17.0189,11.2288,24.8964,96.18713,69.17,319.63,2.85
2019-05-31,0.0,20.8329,15.1562,25.6396,96.55158,57.22,264.49,1.18
2019-06-01,0.0,23.2822,18.753,28.2907,96.32593,60.12,339.76,2.83
2019-06-02,0.0,21.0505,15.278,27.1404,96.6091,57.57,325.99,2.12
2019-06-03,0.0,22.1962,17.6465,28.4425,96.52446,63.76,291.4,3.23
2019-06-04,0.0,24.0534,20.5535,29.7254,96.18435,72.83,278.61,3.79
2019-06-05,0.0,25.1532,19.9444,29.4973,95.98745,65.92,280.44,2.61
2019-06-06,0.27,23.8086,18.6683,28.4595,96.11799,68.59,274.67,1.84
2019-06-07,0.02,24.0563,19.0538,29.5869,96.20487,68.63,336.83,1.53
2019-06-08,0.0,24.7199,18.5474,29.2366,96.26312,60.54,336.75,1.9
2019-06-09,0.0,20.7371,16.4938,28.5104,96.76092,66.95,195.94,3.19
2019-06-10,0.45,17.4464,10.5691,24.064,97.74889,53.52,364.51,1.89
2019-06-11,0.0,20.0969,13.8149,24.4216,97.18207,40.52,274.81,3.14
2019-06-12,6.58,17.5737,12.5365,23.0689,96.744,72.69,319.21,2.8
2019-06-13,0.0,18.6714,10.6742,25.5523,96.95936,43.16,349.99,2.22
2019-06-14,1.15,21.0099,14.8182,27.657,96.25693,59.84,277.54,6.24
2019-06-15,0.0,24.2376,19.4799,29.604,95.77502,68.51,288.51,4.52
2019-06-16,0.0,24.0455,17.6066,27.8058,96.17115,61.32,301.18,1.63
2019-06-17,0.0,23.1826,17.8823,28.4862,96.40437,65.42,313.41,1.86
2019-06-18,12.82,21.765,17.5297,27.3599,96.38701,79.07,133.74,2.06
2019-06-19,1.19,19.5044,17.6828,23.6305,96.67233675105486,85.52,186.25,3.2567182662538703
2019-06-20,0.0,22.8058,17.1709,30.78,96.67233675105486,72.57,178.15412095639945,3.2567182662538703
2019-06-21,17.54,23.395,16.6768,30.411,96.67233675105486,80.57,178.15412095639945,3.2567182662538703
2019-06-22,5.96,23.1592,18.9479,27.304,95.93521,84.17,134.2,3.2567182662538703
2019-06-23,77.82,19.7342,16.5346,24.9838,96.03296,84.04,239.15,3.2567182662538703
2019-06-24,0.0,19.3435,12.8182,25.9998,96.10732,69.92,359.79,3.2567182662538703
2019-06-25,0.0,23.8646,17.8081,30.5974,96.27952,61.28,343.88,3.2567182662538703
2019-06-26,12.35,23.5288,15.6284,29.2057,96.7302,66.34,321.09,3.2567182662538703
2019-06-27,0.0,27.008,22.4843,31.5727,96.76844,73.04,301.69,3.2567182662538703
2019-06-28,0.0,28.3427,23.6672,33.8107,96.68067,68.11,336.32,5.32
2019-06-29,0.0,29.1435,24.8038,33.8099,96.77094,68.19,340.34,3.65
2019-06-30,0.0,27.5544,22.5809,32.2193,96.80332,71.0,345.5,3.42
2019-07-01,0.0,26.0342,21.4314,30.4768,96.71969,69.84,325.22,3.31
2019-07-02,0.01,26.5702,22.3033,30.9231,96.41457,69.87,311.5,3.15
2019-07-03,0.0,25.597,21.856,29.2564,96.20442,70.91,313.16,3.96
2019-07-04,38.56,23.2615,20.6053,28.6189,96.33085,83.37,223.42,2.24
2019-07-05,7.37,24.0696,19.4882,28.5285,96.67269,87.37,132.72,2.42
2019-07-06,0.0,23.9359,20.6275,27.7245,96.98406,84.2,216.15,2.11
2019-07-07,0.0,25.1838,20.6813,30.029,96.87263,74.5,334.86,1.22
2019-07-08,0.0,25.8332,21.6968,30.3919,96.56642,77.24,293.59,2.26
2019-07-09,0.0,25.6042,19.2974,31.8768,96.32444,76.16,323.55,2.6
2019-07-10,9.05,25.9606,18.2901,31.385,96.76842,74.36,262.05,2.66
2019-07-11,0.0,23.6217,18.6334,28.3137,97.0223,64.57,335.03,1.29
2019-07-12,0.0,25.4024,19.6165,29.4689,96.68122,56.96,349.79,1.5
2019-07-13,0.0,25.49,20.4761,30.236,96.71144,67.36,336.77,1.96
2019-07-14,0.0,26.9869,22.4828,31.374,96.81743,64.54,325.48,1.92
2019-07-15,0.0,24.9715,20.332,30.4376,96.5913,74.7,329.59,2.32
2019-07-16,0.0,25.7137,20.15,31.9597,96.39749,72.92,320.8,2.18
2019-07-17,0.0,29.4342,25.1555,35.5524,96.18411,67.24,295.94,4.49
2019-07-18,0.0,29.8879,25.9725,34.96,95.97549,62.39,279.7,5.71
2019-07-19,0.0,30.3026,25.4798,35.3017,95.94179,59.82,329.38,6.0
2019-07-20,0.0,29.9271,24.9115,35.3113,95.98245,61.1,326.24,5.63
2019-07-21,0.0,25.3755,20.0782,34.5404,96.39316,75.01,93.38,3.56
2019-07-22,0.0,21.7502,17.7352,26.0687,97.14115,76.4,331.48,3.43
2019-07-23,0.0,20.6465,15.7507,25.4456,97.49897,62.12,347.18,1.72
2019-07-24,0.0,22.163,17.9123,26.8751,97.324,55.99,330.94,1.45
2019-07-25,0.0,23.5124,18.1563,30.2085,97.00371,55.87,286.41,3.99
2019-07-26,0.0,25.24,20.6371,31.1667,96.92812,52.35,322.91,5.13
2019-07-27,0.0,25.8465,20.0085,31.6665,96.9973,52.4,319.48,4.37
2019-07-28,0.0,26.8772,22.807,32.7438,96.64275,55.56,284.5,5.31
2019-07-29,0.0,26.45,21.3019,31.3627,96.56697,59.15,319.95,3.0
2019-07-30,0.0,25.2058,18.9305,30.5034,96.89789,52.5,297.0,1.57
2019-07-31,0.0,25.4954,20.6296,31.0348,96.79306,61.64,293.25,3.73
2019-08-01,0.0,24.8047,20.1675,31.2743,96.79467,70.22,251.29,3.47
2019-08-02,32.53,22.7917,20.2765,25.4831,96.82622,91.04,65.96,2.26
2019-08-03,0.0,23.2804,21.1089,28.1228,96.80272,89.01,161.24,1.43
2019-08-04,0.0,25.0563,20.452,29.6233,96.84101,68.66,309.88,1.34
2019-08-05,0.0,25.7099,21.3859,30.2463,96.68819,68.33,173.38,1.9
2019-08-06,0.0,26.6124,21.3718,32.2573,96.46485,74.25,298.64,1.45
2019-08-07,39.64,24.1921,18.8273,30.8553,96.36282,80.22,144.74,2.41
2019-08-08,8.8,23.4182,20.425,27.6376,96.45474,81.36,214.65,1.88
2019-08-09,0.0,24.5889,19.892,29.0566,96.58141,72.77,276.6,1.72
2019-08-10,0.0,12.460202517482514,7.847813146853157,18.531683356643363,96.67233675105486,67.0629083094556,178.15412095639945,3.2567182662538703
2019-08-11,8.37,26.1351,20.8522,30.3325,96.46837,82.47,252.3,2.3
2019-08-12,9.94,26.1254,20.565,30.9862,96.14403,81.31,252.16,1.75
2019-08-13,0.0,26.5861,22.9126,31.0043,96.54683,76.89,287.57,1.6
2019-08-14,0.0,24.3942,20.2474,28.7906,96.96257,62.45,289.39,1.73
2019-08-15,0.0,23.2866,17.5012,29.6995,96.77983,72.39,215.25,2.53
2019-08-16,64.38,22.553,18.2875,29.4909,96.27854,82.75,196.29,3.16
2019-08-17,4.38,24.2348,17.7705,30.9952,96.07308,78.0,279.32,3.28
2019-08-18,0.04,26.3664,21.5839,30.9115,95.99478,60.64,288.93,3.55
2019-08-19,0.0,26.1953,20.1766,33.2373,96.4836,76.93,286.06,2.4
2019-08-20,0.0,29.5505,26.0372,34.2617,96.45234,70.35,206.76,3.99
2019-08-21,2.44,24.9964,19.3736,32.2764,96.62873,79.54,102.74,3.19
2019-08-22,0.0,22.6974,20.9635,26.4798,96.62793,87.89,145.89,2.06
2019-08-23,0.0,23.2033,20.5187,27.3594,96.69969,86.2,164.26,1.76
2019-08-24,0.0,21.4084,19.7426,24.8644,96.78731,86.62,74.24,1.82
2019-08-25,48.75,20.1555,17.9204,24.8028,96.31861,85.72,160.73,2.04
2019-08-26,0.0,20.0437,18.696,23.0143,95.95367,93.64,47.4,1.69
2019-08-27,0.0,21.2205,16.005,26.1344,96.66739,71.23,277.44,1.62
2019-08-28,0.0,21.0293,14.3335,28.2735,96.99341,59.84,272.96,1.65
2019-08-29,0.0,25.1762,20.3226,32.1035,96.57316,70.68,267.55,3.99
2019-08-30,69.46,12.460202517482514,7.847813146853157,18.531683356643363,96.67233675105486,67.0629083094556,178.15412095639945,3.2567182662538703
2019-08-31,0.0,19.0175,16.3677,23.1449,97.16677,85.19,142.72,1.48
2019-09-01,0.0,20.6286,16.6259,26.7706,97.07743,83.65,222.49,1.54
2019-09-02,0.0,24.4941,19.8906,31.066,96.88178,77.83,260.07,3.26
2019-09-03,0.0,27.0596,23.0455,32.5627,96.47397,67.77,243.63,3.77
2019-09-04,0.0,23.7905,18.9145,31.0006,97.04792,65.74,235.48,2.18
2019-09-05,0.0,25.612,20.9391,32.8739,96.85496,68.61,262.81,3.7
2019-09-06,0.0,25.1062,19.9523,30.3947,96.77481,65.86,245.62,3.22
